id,zh,en
4051,"1940年7月26日，日本内阁在其《基本国策要纲》中正式写道:""皇国之国策乃基于八纮一宇之肇国伟大精神""。","On July 26, 1940, the Japanese Cabinet officially wrote in its Outline of Basic National Policy says, ""The national policy of the imperial state is based on the great spirit of the founding of Hakkō Ichiu the country of Bakaniyu""."
4052,西汉八校尉是指武帝在京师长安设置的中垒、屯骑、步兵、越骑、长水、胡骑、射声、虎贲八个校尉。,"The Eight Xiaowei in the Western Han Dynasty refers to the eight official titles, named and established by Emperor Wu in the capital of Chang\'an, including Zhonglei, Tunqi, Bubing, Yueqi, Changshui, Huqi, Shesheng and Huben."
4052,古今众多学者认为中垒校尉统领其他七校，且这八校尉及其所率军队均属北军范围。,Many scholars from ancient times to the present hold that these eight officers as well as their troops belong to the North Army with Zhonglei as the general leader.
4052,然在汉代史籍中，仅见中垒校尉掌北军营垒内军务的相关记载，尚未发现其统领其他七校尉的确凿证据。,"But, the historical records of the Han Dynasty only shows that Zhonglei undertakes some military affairs of the North Army, and there is no evidence showing Zhonglei as the general leader of other seven Xiaowei."
4052,此外，无论是从组织系统、驻军地点，还是建军意图方面分析，中垒校尉以外的七个校尉都不在北军之列。,"Furthermore, judging either from the organizational system and the garrison location, or from the analysis of the intention of establishing the army, it is clear that the other seven Xiaowei are not in the rank of North Army."
4053,巴蜀文化应该有狭义与广义之分。,The Ba-Shu Culture can be understood in different senses.
4053,狭义的巴蜀文化，即中国西南地区以古代巴、蜀为主的族群的先民们留下的文化遗产，主要分布在四川盆地及其邻近地区，其时代大约相当于春秋战国秦汉时期，前后延续上千年。,"In a narrow sense it refers to the cultural inheritance left by the people of the Ba and Shu ethnic groups, who lived in the southwest of China, especially in Sichuan Basin and its neighbourhood.This culture went on for nearly a thousand years, presumably from the Spring and Autumn Period to the Han Dynasty."
4053,从考古学上确认巴蜀诸族群的文化和巴蜀文化区，是建国以来两周考古的一大收获。广义的巴蜀文化是指包括四川省与重庆市两者及邻近地域在内的、以历史悠久的巴文化和蜀文化为主体的、包括地域内各少数民族文化在内的、由古至今的地区文化的总汇。,"It is a great achievement in the Western and Eastern Zhou Dynasty archaeology to confirming the culture of Ba-Shu ethnic group and determining a special Ba-Shu Cultural area.The Ba-Shu Culture in a broad sense means a hybrid from then on, which has the Ba-Shu Culture as a backbone and includes some minority cultures in Sichuan province, Chongqing and their adjacent regions."
4054,荀子关于大一统王权政治的构想反映了儒家学说为适应战国末期的社会转型而发生的理论变迁。,Xunzi's blueprint of great-unity royal politics reveals the theoretical change of Confucianism to meet the social transformation of the late Warring States period.
4054,荀子提出了礼法互补、王政霸政并用的系统理论，为大一统王权政治提供了最佳的治国模式。,"He advocated the systematic theory of the complementarity of virtue and law and the combination of royal government and lord politics in Spring and Autumn Period, and thus proposed the best model of state governance for great-unity royal politics."
4054,关于大一统王权政治的制度建设，荀子论述了他的王政和王制的思想。,"For the systemic construction of the theory, Xunzi described his idea of royal politics and royal system."
4054,荀子主张尊君，以树立和维护君主的权威，同时又主张以儒家的道统与民本思想为主，建立起对君主的权力与意志的制约机制。,"He advocated great respect for rulers to keep their authority.On the other hand, he advocated a mechanism of restraining ruler power and will, while using the ideas of the Confucian Way and the people as the root."
4055,入清以来，土默特地区的移民问题备受史学界关注，成为土默特地区社会生活史研究中的重要问题之一。,"As a key subject in studies of Tümed's social life history, the immigration of Tümed area in the Qing Dynasty draws close attention of historians."
4055,这一移民现象清以降由于其特定的时间和空间要素发生了深刻的变化。,The migration has undergone profound changes during and after the Qing Dynasty because of its specific elements of time and space.
4055,尽管其承袭明朝“板升”移民的历史，但是从类型、方式、构成、数量、影响等方面都表现出新时期、新阶段的移民特性。,"Although it inherited the history of ""Baixing"" immigration in the Ming Dynasty, it has shown features of immigration in a new era and at a new stage in terms of type, fashion, composition, quantity, impact, etc."
4056,唐代刺史（或称部刺史、州刺史）最重要的使命，无疑是监督州内的税赋并上缴。,The primary duty of the Prefectural Governor in the Tang Dynasty was to supervise the collection of tax in this prefecture and turn in these tax to upper authority.
4056,简单说，唐刺史本质上就是州最高一级的“收税官”，跟罗马帝国时代的总督也主掌收税类似。,"Simply put, it served as a Prefecture-level tax collector, just like the provincial governor in the Roman Empire."
4056,刺史的年终考课，基本上以他的税收业绩为依据。,The annual assessment of the Prefectural Governor was largely based upon the tax revenue he brought in.
4057,公元992年，丁谓通过科举考试，成为饶州的财务总司。,"In 992, Ding Wei passed the imperial examination and became the financial controller-general of Raozhou."
4057,一年后，他陪同太子赵元侃视察福建。,"A year later, he accompanied the crown prince Zhao Yuankan to inspect Fujian."
4057,回来后，他呈上了一份关于盐茶的报告，并被任命为支度使。,"Upon his return, he presented a report on salt and tea, and was made a fiscal commissioner."
4058,火药和指南针发明后，国人既用于爆竹神鬼、堪舆风水，也用于兵器战争、航海指向。,"Soon after the powder and compass were invented, the Chinese people used the powder for making crackers exorcising demons, and used the compass for geomancy and fengshui.Meanwhile, they also used these in making weapons for wars and navigation."
4058,在郑和下西洋的壮举中，火器已是远洋海船的主要武器装备之一，指南针也是最主要的导航指向仪器。,"When Zheng He led his fleet to the then-called Western Oceans during the early 15th century, firearms had been one of the main weaponries of the oceangoing ships and the compass was used as the major instrument for voyage guiding."
4058,那种认为在中国古代火药长期主要只用于烟花爆竹、指南针到下西洋时仍只是辅助导航仪器的观点是不符合历史实际的。,These facts are contrary to the viewpoint that the powder was used only for fireworks and the compass was used only as auxiliary tools even by Zheng He's time.
4059,如果按照户均5口计算，那么元代江西地区约有12396890口。,"Assuming that there were 5 people on average in each family, approximately 12,396,890 people inhabited Jiangxi in the Yuan Dynasty."
4059,至于诸色户计制度，据史料载，元代江西地区除了民户外，还有大量的其他户计存在。,"As to the occupation registry system, there were other kinds of families besides those engaged in farmer's trade in Jiangxi Province in the Yuan Dynasty according to historical data."
4059,总体上来说，诸色户计制度较为完备。,"Overall, the occupation registry system was comparably complete."
4060,贾谊提出众建诸侯的建议为文帝所采纳，并对后来晁错和主父偃很有启发。,"Jia Yi puts forth the proposal of establishing the system of feudal lords, which is adopted by Emperor Wen and further inspires Chao Cuo and Zhufu Yan."
4060,消除边患是贾谊治国方略之一。,Eliminating border unrests is also one of Jia Yi's tactics of administering the country.
4060,对于匈奴侵扰，文帝和景帝采取和、战结合，武帝则是先和后战，不同做法与贾谊方案是一致的。,"The different measures taken by Emperor Wen, Emperor Jing and Emperor Wu to resist the aggressions of Xiongnu are actually in accordance with Jia Yi's scheme."
4060,重视经济是贾谊思想的重要内容。,Emphasizing economy is also an important part of Jia Yi's thought.
4060,由于这样思想主张得到实行，文景之治带来经济的发展。,The fact that this idea has been effectively put into practice greatly stimulates the economic development in the regime of Emperor Wen and Emperor Jing.
4060,武帝时币制改革，事实上也是贾谊思想在政策方面的实现。,The reform of the currency system during Emperor Wu's regime also reveals Jia Yi's thought concerning national policy.
4061,转运司设置于五代时期。,The Transport Department was set up in the Five Dynasties period.
4061,其主管官吏称转运使，始见于唐。,The officials in charge of the Transport Department first appeared in the Tang Dynasty.
4061,转运司的权力在宋代发展至顶峰，兼管民事、司法、监察、财政及军事等职。,"The title reached the height of its power in the Song Dynasty, which covered responsibilities for the civil, judicial, supervising, financial and military affairs, and so on."
4061,至元代，转运司开始走向下坡路，权力范围明显缩小，只负责财政事务，如催征赋税、办理上供、转输物资等。,"Later in the Yuan Dynasty, the Transport Department's duty was reduced to only the financial affairs, such as pressing and imposing the taxes, and transporting the goods and materials."
4062,南外宗正司是宋代管理外居宗室的机构。宋金交战，为躲避战乱，它辗转迁入福建泉州。,"In order to avoid the war between the Song Dynasty and the Jin Dynasty, the organization to manage the Zhao Imperial Clan moved into Fujian."
4062,南外宗正司的机构非常健全，宗室在闽蓬勃发展。,"The organization was very effective, and the Zhao Imperial Clan developed quickly."
4062,南外宗正司的入闽，对提高泉州乃至福建的历史地位以及促进福建经济文化的繁荣均有深远的影响。,"This organization made such positive influences as improving the historical position of Quanzhou and Fujian, and promoting the prosperity of the economy and culture of Fujian."
4063,晋北的雁门、宁武、偏头三关一带在明代属边关要地。,"The three districts—Yanmen, Ningwu and Piantou—were important border regions in the Ming Dynasty."
4063,明中后期，大同总兵在边关地区大肆伐木，引发了山西巡抚与大同总兵之间多次的伐木纠纷。,"In the middle and later Ming Dynasty, the commander-in-chief of Datong cut down a lot of trees in the border regions, triggering repeated logging disputes between the provincial governor of Shanxi and him."
4063,纠纷显示，明初三关一带森林广布，较大的树木多是全新世温暖期森林的遗存，森林和地形结合构成天然军事防御体系是抵御北方游牧骑兵的屏障，但却无资料显示明代人已认识到生态保护的价值。,"The disputes showed that there were extensive forests with large trees remaining in existence since the Holocene Warm Period, and that the combination of forestry and topography was a natural military defense system, which could help withstand the nomadic cavalry from the north.Yet no data displayed that people in the Ming Dynasty were aware of ecological protection."
4064,双城总管府是蒙古在高丽东北部地区设立的统治机构，一直存在到元末。,"Shuangcheng Zongguanfu was the ruling office in the northeast of Korea, which was established by the Mongol Empire and existed to the last years of the Yuan Dynasty."
4064,双城总管府主要由归降蒙古的高丽人世袭管领，元廷派达鲁花赤进行监临控制。,"It was mainly ruled by the Koreans hereditarily who pledged allegiance to the Yuan Dynasty.At the same time, the Yuan Dynasty sent supervisors to control it."
4064,双城总管府的设立对元丽政治关系产生了深远的影响。,The establishment of Shuangcheng Zongguanfu greatly influenced the China-Korea relations during the Yuan Dynasty.
4065,对于清初江南奏销案，一般论者大多从清廷对士绅的政策层面着眼。,"For the case of financial receipts and expenditures reporting in Jiangnan Province in the early Qing Dynasty, scholars generally study it from the angle of the policy of the Qing Government to the gentries."
4065,江南奏销案并不是一个孤立的事件，清廷之所以在全国范围内发动奏销案，是因为清初财政肩负双重使命，这种双重使命导致国家异常重视财政制度的完善和执行。,"However, it was not an isolated event.The Qing Government started it all over the nation because the finance of the government shouldered the dual mission in the special social situation in the early Qing Dynasty, and this made it necessary for the nation to put exceptional emphasis on the perfection and execution of the financial system."
4065,江南奏销案对绅士的打击比较广泛是江南特殊的情形使然。,Therefore the special situation in Jiangnan Province caused the broad attack on the gentries.
4066,奏折制度起源于顺治时期，其原始形态是皇室戚属致送皇帝及皇太后之请安折。,"It was verified that the system of memorials to the throne began in the Shunzhi period, and the original memorials, sent by members of the royal clan, were aimed at paying respects to the Emperor and the Empress Dowager."
4066,康熙间，奏折使用范围扩及内外臣工，内容也改以政事为主。与之同时，在上行文书中的地位和作用也日益重要。,"The ministers and officers began to use memorials to talk about political matters in the Kangxi period, and the memorials became more and more important."
4066,作为奏折原始形态的继承，康熙朝诸皇子奏折亦呈现过渡状态。,"Through a succession of the earliest memorials, those of the princes of Kangxi also had a development period."
4066,这些变化，对于当时政局和此后奏折发展方向，都产生了重要而深远的影响。,All of these changes had made important and extensive influences on the political situation and the later style of memorials to the throne.
4067,清中后期没有制定统一的租佃法律。,"In the late Qing Dynasty, the Qing government did not make the uniform tenancy law."
4067,因此，各政府制定租佃政策以弥补法律不足，其中以陕南与苏南为代表，但两者制定的政策在价值取向与具体内容上，有诸多不同。,"Therefore, the local governments'policies could make up for the lack of such a law.The South of Shanxi and South of Jiangsu governments were the representatives.However, there were many differences in their value orientation and specific contents."
4067,陕南地方政府租佃政策平衡地主与佃农关系，取得了良好效果，缓和租佃关系，促进了农业生产；苏南地方政府租佃政策压制佃农的合理诉求，不能缓解租佃矛盾，无法取得良好效果。,"The former balanced the relationship and achieved good results, and eased the tenant-landlord relations and promoted agricultural production.In comparison, the latter did not cater to the reasonable requests of the tenants, was unable to achieve good effects, and could not ease the tenant-landlord conflicts and retain a good social order."
4068,族刑是一种基于血缘关系的家族集体性惩罚，主要适用于政治性犯罪。,"Family punishment was a form of collective punishment based on kinship, and it was mainly applicable to political crimes."
4068,秦汉时期族诛的范围基本上是“父母妻子同产”，仅在特殊情况下有小范围伸缩。,"Except for a small number of variances, the collective death penalty was meted out basically to ""parents, wives and off-springs"" of the accused during the Qin and Han Dynasties."
4068,大约以宣元时期为界，族刑的施刑方式渐由诛杀向诛徙转变。,"Starting approximately from the reign of Emperor Xuanyuan, the family punishment gradually changed from that of killing to banishment."
4068,家族主义为族刑的存在提供了条件。族刑是古代小政府控制大国土的有效有段，并且可以提高刑罚上限，增强刑罚的威慑力。,"The clan system provided the necessary conditions for collective punishment, which constituted an effective mechanism of small governments controlling a large state.It set up an upper limit of punishment while greatly enhancing the deterrent power of punishments."
4069,先秦时期左史与右史的职位是否存在？“左史记言，右史记事”还是“左史记事，右史记言”？这两个问题一直是争论不休的话题。,"The issues have been a topic of debate for a long time whether official positions like left history official and right history official really existed in the early Qin period, and which position was in charge of recording historical events or remarks."
4069,从文献资料和甲骨卜辞的记载看，左史、右史的职位是存在的，只是随着人们尚右、尚左观念的发展变化，其地位有轻重之分。,"According to the records and oracle inscriptions, the positions of left and right history officials did exist.But with people's changing ideas of esteem preference on the left or the right, the two official positions had different significances at different times."
4069,而记言、记事只是当时史官众多职能中的一项，实则左史、右史皆可为之。,"In the early Qin period, recording historical remarks and events was only part of responsibilities of historians, and both the left and the right history official could do it."
4070,座上奴是一种越南皇帝蓄养的奴隶，存在于越南的陈朝。,"：Zuoshangnu was a kind of slaves who were kept by the Emperor of Vietnam, which existed in the Chen Dynasty in Vietnam."
4070,他们要在脸上刺上“座上奴”三个字来表明自己的身份，并与其他类型的奴隶、如公侯蓄养的官中客区分开来。,"The slaves had to have the words ""zuoshangnu"" tattooed on their faces to show their identity and to ditinguish themselves from other kinds of slaves, like guanzhongke, who were kept by baronage."
4070,同时，这种做法也可以防止他们逃亡。,"For another point, this could also prevent them from escaping."
4070,这种制度是越南奴隶制度残存的一种反映。,This system was a reflection of the remnants of slavery in Vietnam.
4071,尽管加尔文强调不可能有绝对的救赎，但是他的一些追随者并未能区分开这一点。,"Although Calvin stressed that there could be no absolute certainty of salvation, some of his followers did not always make this distinction."
4071,宿命论的实际心理后果是，给后来的加尔文教以一种不可动摇的信念，即他们在世间从事着上帝的事业。,The practical psychological effect of predestination was to give some later Calvinists an unshakable conviction that they were doing God’s work on earth.
4071,这样，加尔文教成为一种动态和积极的信念。,Thus Calvinism became a dynamic and activist faith.
4071,难怪加尔文教成为新教当中一种颇为好斗的跨国形式。,It is no accident that Calvinism became the militant international form of Protestantism.
4072,爱因斯坦后来对一位记者做了简单解释：“以前曾经认为，假如宇宙中所有的物质都消失了，时间和空间却还是存在的。然而，依照相对论来看，时间和空间会与物质一同消失。,"As Einstein later explained simply to a journalist, ""It was formerly believed that if all material things disappeared out of the universe, time and space would be left. According to the relativity theory, however, time and space disappear together with the things."""
4072,”此外，爱因斯坦还提出，物质不是什么别的东西，仅仅是能量的另一种形式。,"Moreover, Einstein concluded that matter was nothing but another form of energy."
4072,他的划时代的方程式E=mc2——每一个物质粒子的能量都相当于它的质量乘以光速的平方——是解释原子内部所蕴藏的巨大的能量的关键理论。,His epochal formula E=mc2---each particle of matter is equivalent to its mass times the square of the velocity of light---was the key to explaining the vast energies contained within the atom.
4072,它引领我们走向了原子时代。,It led to the atomic age.
4073,座落在这个几英亩圣地上面的是金字形神塔，塔的顶部是为祭祀掌管这个城市神灵而修筑的神庙。,"Occupying several acres, this sacred area consisted of a ziggurat with a temple at the top dedicated to the god or goddess who owned the city."
4073,而这个神庙就是这个共同体的真正中心。,The temple complex was the true center of the community.
4073,为主神塑造雕像并举行包括让神灵附身的祭祀仪式，以此象征主神居于此地，这样就给城市赋予了神的权力。,"The main god or goddess dwelt there symbolically in the form of a statue, and the ceremony of dedication included a ritual that linked the statue to the god or goddess and thus supposedly harnessed the power of the deity for the city’s benefit."
4074,在这方面，一个更有说服力的例子是在当代的国际法中，牢固地树立一个合法的国家必须是维护某些共同的民主价值的国家这一观念的倾向（参见Crawford和Marks， 1998）。,"A further telling example in this regard is the tendency in contemporary international law to entrench the notion that a legitimate state must be a state that upholds certain common democratic values (see Crawford and Marks, 1998)."
4074,例如，《世界人权宣言》第21条宣称，民主原则与某些列举出的权利一起作为一种“所有人民和国家追求的共同标准”（参见UN， 1988，第2、5页）。,"For instance, in Article 21 the ""Universal Declaration of Human Rights"" asserts the democratic principle along with enumerated rights as a ‘common standard of achievement for all peoples and nations’（see UN, 1988, pp. 2, 5)."
4074,但是，“民主” 一词却并未出现在《宣言》中，并且形容同“民主的”也只出现了一次（在第29条）。,"However, the word ‘democracy’ does not itself appear in the Declaration and the adjective ‘democratic’ appears again only once (in Article 29)."
4074,相反，《联合国公民权利和政治权利国际公约》（1966，1976年开始实行）在第25条里详尽地阐述了这一原则，使很多不同的权利协议与协定形成一个有约束力的条约（参见UN， I988，第28页）。,"By contrast, the ""UN International Covenant on Civil and Political Rights"" (1966) (which came into force in 1976) elaborates this principle in Article 25, making a number of different rights agreements and conventions into a binding treaty (see UN, 1988, p. 28)."
4075,《社会发展纲要》的思想前提和制度前提，同马克思主义的社会主义毫无关系。,"The intellectual and institutional antecedents of the ""Community Development Program"" do not have the remotest connection with Marxist socialism."
4075,而纲要中一个重要的因素是，甘地坚信理想化的印度村社是最适合文明人生活的社会共同体；第二个因素是英国 人的经验及其农业所不断发挥的作用；第三个因素是英国家长式统治的影响。,One important ingredient is Gandhi’s faith in an idealized version of the Indian village as the most suitable community for civilized man.A second element is American experience with our agricultural extension service.
4075,具体来说，这表现为“提挈农村”的运动。,"A third has been the influence of British paternalism and, more specifically, movements for ""village uplift."""
4076,在这方面，一个更有说眼力的例子是在当代的国际法中，牢固地树立—个合法的国家必须是一个维护某些共同的民主价值的网家这一观念的倾 向（参见Crawford和Marks，1998）。,"A further telling example in this regard is the tendency in contemporary international law to entrench the notion that a legitimate state must be a state that upholds certain common democratic values (see Crawford and Marks, 1998)."
4076,例如，《世界人权官言》第21条宣称，民主原则与某些列平出的权利一起作为一种“所有人民和国家追 求的共同标准”（参见UN，1988，第2、5页）。,"For instance, in Article 21 the ""Universal Declaration of Human Rights"" asserts the democratic principle along with enumerated rights as a ‘common standard of achievement for all peoples and nations’（see UN, 1988, pp. 2, 5)."
4076,但是，“民主”一词却并未出现在《宣言》中，并且形容词“民主的”也只出现了一次（在第29条）。,"However, the word ‘democracy’ does not itself appear in the Declaration and the adjective ‘democratic’ appears again only once (in Article 29)."
4076,相反，《联合国公民权利和政治权利国际公约》（1966，1976年开始实行）在第25条里详尽地阐述了这一原则，使很多不同的权利协议与协定形成一个有约束力的条约（参见UN，1988，第28页）。,"By contrast, the ""UN International Covenant on Civil and Political Rights"" (1966) (which came into force in 1976) elaborates this principle in Article 25, making a number of different rights agreements and conventions into a binding treaty (see UN, 1988, p. 28)."
4077,在欧盟国家范围内，美国电影票房收入所占的平均份额下降到1996年的63%，在法国下降至53%，而在英国下降到81%。,"The EU average for the share of US films in box office receipts dropped to 63 per cent in 1996, falling as low as 53 per cent in France and down to 81 per cent in the UK."
4077,最后，值得注意的是，虽然日本已经有相对发达的电影业，美国电影似乎较难渗透进日本市场，但日本也还是被美国电影征服了。,
4077,,"Finally, it should be noted, Japan, which has had a relatively healthy domestic industry and appeared to be a relatively difficult market for US films to penetrate, has succumbed to US movies as well."
4077,以美国电影为主的外国电影在日本总电影票房收入中占据的份额从1980年的45%上升至1990年的近60%，这个数字在90年代晚期继续向上攀升（Gyory和Glas，1994;《银屏摘要》，1996，1997c）。,"Foreign receipts at the Japanese box office - predominately American - have risen from 45 per cent of the total in 1980 to almost 60 per cent in 1990, a figure that has continued to creep upwards in the late 1990s (Gyory and Glas, 1994; Screen Digest, 1996, 1997c)."
4078,另一方面，他们所控制的政权又为其他阶层强有力的挑战所胁迫。,"On the other hand, they worked these levers within the context of strong challenges from other classes."
4078,把注意力集中于乡绅与贵族在正式的甚至非正式的政治机构中的强固地位，可能会对他们的权力造成一种错误印象。拿1832年的议会改革来说，这一改革使工业资产阶级获得了选举的权力。尽管这一改革使更激进的支持者感到失望，令顽固的反对者感到恐惧，但改革法案的实现意味着资产阶级已经初歩显示出了自己的力量。,"To concentrate on the strength of their position in the formal and even the informal apparatus of politics would give a misleading impression of the power of the gentry and the nobility，Even if the Reform Bill of 1832, which gave the industrial capitalists the vote, disappointed the hopes of its more ardent advocates and belied the fears of its more ardent opponents, its passage mean that the bourgeoisie had shown its teeth."
4078,这种情况同样表现在1846年《谷物法》受冲击的过程中。,The same can be said about the striking down of the Corn Laws in 1846.
4078,上层土地贵族并没有遭受灾难性的打击，但明白了他们所拥有权力的界限。,"The landed upper classes suffered no disaster, but they learned the limits of their power."
4079,概括地描述一下，这无非是英国从劫掠向官僚政治演化的过程。,"Such then, if in sketchy outline, was the evolution of the British from piracy to bureaucracy."
4079,以下的三个相互联系的阶段影响着印度杜会：起初，是英国人想通过建立法律秩序和固定税收，以及确立农村中的财产权的办法，来实现农业的商品化，结果这个做法失败了；第二步是农村手工业遭到局部破坏；最后一步是1857年试图挣脱英国人奴役的兵变的失败。,"Three interrelated consequences for Indian society followed: the beginnings of an abortive commercialization of agriculture through the establishment of law and order, regular taxes, and property in the countryside; secondly, the partial destruction of rural handicrafts, and, finally, an unsuccessful attempt to throw off the British yoke in the Mutiny of 1857.In turn these three processes set the basic framework for what has taken place down to the present day."
4079,反过来，这三个阶段又为从那时沿至今天的印度社会的多种变化提供了基本构架。,
4080,只说出9月屠杀的暴行而忘却隐藏于暴行之后的恐怖，无疑会落入偏见的陷阱。,To express outrage at the September massacres and forget the horrors behind them is to indulge in a partisan trick.
